run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769804366983,1769804366983,NORMAL,WARRIOR,VICTORY,True,2,6,5,6,70,5,14.0,57,0,5,5,2.0,0.0
run_1769860079031,1769860079031,NORMAL,WARRIOR,VICTORY,True,2,7,6,8,101,7,14.428571428571429,76,0,4,6,2.0,0.08333333333333333
run_1769860080528,1769860080528,NORMAL,WARRIOR,VICTORY,True,2,8,6,6,87,5,17.4,60,0,5,5,2.0,0.0
run_1769860084591,1769860084591,NORMAL,WARRIOR,VICTORY,True,2,6,6,7,84,7,12.0,68,0,3,5,2.2,0.0
run_1769861001569,1769861001569,NORMAL,WARRIOR,PLAYER_DEATH,False,3,13,7,14,244,150,1.6266666666666667,145,0,21,8,4.5,0.05555555555555555
run_1769861024147,1769861024147,NORMAL,WARRIOR,PLAYER_DEATH,False,3,16,10,20,359,159,2.257861635220126,199,0,9,11,4.636363636363637,0.0392156862745098
run_1769861050730,1769861050714,NORMAL,WARRIOR,VICTORY,True,2,8,6,7,103,10,10.3,65,0,3,5,2.6,0.07692307692307693
run_1769861094277,1769861094277,NORMAL,WARRIOR,PLAYER_DEATH,False,3,14,13,23,357,161,2.217391304347826,223,0,5,13,4.076923076923077,0.05660377358490566
run_1769861103453,1769861103453,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,11,16,289,152,1.9013157894736843,176,0,13,9,4.777777777777778,0.046511627906976744
run_1769946692959,1769946692959,NORMAL,WARRIOR,PLAYER_DEATH,False,5,21,17,30,741,295,2.511864406779661,572,0,5,17,4.647058823529412,0.05063291139240506
run_1769946705810,1769946705810,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
run_1769946721700,1769946721700,NORMAL,WARRIOR,PLAYER_DEATH,False,4,16,14,17,459,152,3.0197368421052633,423,0,9,12,4.5,0.05555555555555555
run_1769946732007,1769946732007,NORMAL,WARRIOR,PLAYER_DEATH,False,4,16,12,17,468,155,3.0193548387096776,432,0,7,11,4.909090909090909,0.07407407407407407
run_1769946738394,1769946738394,NORMAL,WARRIOR,PLAYER_DEATH,False,5,25,22,35,910,253,3.5968379446640317,666,0,18,20,4.85,0.05154639175257732
run_1769946746586,1769946746586,NORMAL,WARRIOR,PLAYER_DEATH,False,3,16,13,24,504,151,3.337748344370861,252,0,8,12,4.75,0.017543859649122806
run_1769946752338,1769946752338,NORMAL,WARRIOR,PLAYER_DEATH,False,5,20,16,32,799,292,2.7363013698630136,633,0,12,16,5.375,0.03488372093023256
run_1769946759215,1769946759215,NORMAL,WARRIOR,PLAYER_DEATH,False,4,15,11,21,454,157,2.8917197452229297,449,0,5,11,4.7272727272727275,0.07692307692307693
run_1769946764405,1769946764405,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,10,23,568,157,3.6178343949044587,271,0,3,11,5.636363636363637,0.04838709677419355
run_1769946770473,1769946770473,NORMAL,WARRIOR,PLAYER_DEATH,False,3,16,12,19,454,151,3.006622516556291,206,0,12,11,4.545454545454546,0.04
run_1769946776032,1769946776032,NORMAL,WARRIOR,PLAYER_DEATH,False,4,14,10,19,432,150,2.88,433,0,8,10,4.8,0.041666666666666664
run_1769946780203,1769946780203,NORMAL,WARRIOR,PLAYER_DEATH,False,4,19,14,19,455,152,2.9934210526315788,454,0,20,13,3.923076923076923,0.09803921568627451
run_1769946786188,1769946786188,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,13,22,487,149,3.2684563758389262,233,0,15,12,4.5,0.037037037037037035
run_1769946791483,1769946791483,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,10,17,390,145,2.689655172413793,190,0,17,10,4.3,0.06976744186046512
run_1769946796695,1769946796695,NORMAL,WARRIOR,PLAYER_DEATH,False,3,13,8,20,458,154,2.9740259740259742,214,0,3,9,5.777777777777778,0.019230769230769232
run_1769946932035,1769946932035,NORMAL,WARRIOR,PLAYER_DEATH,False,5,22,18,33,839,253,3.316205533596838,668,0,7,19,5.2631578947368425,0.03
run_1769946940248,1769946940248,NORMAL,WARRIOR,PLAYER_DEATH,False,4,20,16,19,438,143,3.062937062937063,475,0,20,12,4.333333333333333,0.057692307692307696
run_1769946946471,1769946946471,NORMAL,WARRIOR,PLAYER_DEATH,False,5,20,15,23,608,282,2.1560283687943262,537,0,19,14,5.142857142857143,0.08333333333333333
run_1769946952628,1769946952628,NORMAL,WARRIOR,PLAYER_DEATH,False,4,16,11,18,432,144,3.0,452,0,16,10,5.1,0.0392156862745098
run_1769946957786,1769946957786,NORMAL,WARRIOR,PLAYER_DEATH,False,5,24,21,40,990,277,3.5740072202166067,727,0,16,20,5.5,0.03636363636363636
